a52dec 0.8.0-2
libzip 1.11.1-1
licenses 20240728-1
lilv 0.24.24-2
linux 6.11.5.arch1-1
linux-api-headers 6.10-1
linux-firmware 20241017.22a6c7dc-1
linux-firmware-whence 20241017.22a6c7dc-1
linux-headers 6.11.5.arch1-1
llvm-libs 18.1.8-4
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lolcat 100.0.1-3
lsb-release 2.0.r53.a86f885-2
lsof 4.99.3-2
lua 5.4.7-1
lua51 5.1.5-12
lua51-lpeg 1.1.0-3
luajit 2.1.1727870382-1
luarocks 3.11.1-2
lutris 0.5.17-7
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.9.1-1
mbedtls 3.6.1-1
md4c 0.5.2-1
mesa 1:24.2.5-1
mesa-utils 9.0.0-5
meson 1.6.0-1
minizip 1:1.3.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
nano 8.2-1
ncurses 6.5-3
neovim 0.10.2-2
nettle 3.10-1
networkmanager 1.50.0-1
ninja 1.12.1-1
nodejs-lts-iron 20.18.0-1
nordvpn-bin 3.19.0-2
nordvpn-bin-debug 3.19.0-2
noto-fonts-cjk 20230817-2
noto-fonts-emoji 1:2.047-1
npth 1.7-1
nspr 4.36-1
nss 3.106-1
nushell 0.99.1-1
nvidia-dkms 560.35.03-18
nvidia-utils 560.35.03-18
nvtop 3.1.0-1
nwg-look 0.2.7-1
obs-studio 30.2.1-1
obsidian 1.7.4-1
ocl-icd 2.3.2-2
onefetch 2.22.0-1
oniguruma 6.9.9-1
openal 1.23.1-2
opencore-amr 0.1.6-2
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.9p1-2
openssl 3.4.0-1
openssl-1.1 1.1.1.w-2
opus 1.5.2-1
orc 0.4.40-1
otf-aurulent-nerd 3.2.1-2
otf-codenewroman-nerd 3.2.1-2
otf-comicshanns-nerd 3.2.1-2
otf-commit-mono-nerd 3.2.1-2
otf-droid-nerd 3.2.1-2
otf-firamono-nerd 3.2.1-2
otf-geist-mono-nerd 3.2.1-2
otf-hasklig-nerd 3.2.1-2
otf-hermit-nerd 3.2.1-2
otf-monaspace-nerd 3.2.1-2
otf-opendyslexic-nerd 3.2.1-2
otf-overpass-nerd 3.2.1-2
p11-kit 0.25.5-1
p7zip 1:17.05-2
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20240717-1
pahole 1:1.27-2
pam 1.6.1-3
pambase 20230918-2
pango 1:1.54.0-1
pangomm 2.46.4-1
patch 2.7.6-10
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-error 0.17029-7
perl-mailtools 2.21-9
perl-timedate 2.33-7
pinentry 1.3.1-5
piper 0.8-1
pipes-rs 1.6.3-2
pipes-rs-debug 1.6.3-2
pipewire 1:1.2.6-1
pipewire-alsa 1:1.2.6-1
pipewire-audio 1:1.2.6-1
pipewire-docs 1:1.2.6-1
pipewire-pulse 1:1.2.6-1
pixman 0.43.4-1
pkgconf 2.1.1-1
playerctl 2.4.1-4
polkit 125-1
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.4-3
proton-ge-custom-bin 1:GE_Proton9_16-1
protontricks 1.12.0-1
psmisc 23.7-1
pugixml 1.14-1
pwvucontrol 0.4.5-1
pwvucontrol-debug 0.4.5-1
python 3.12.7-1
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-beautifulsoup4 4.12.3-2
python-cairo 1.27.0-1
python-certifi 2024.08.30-1
python-cffi 1.17.1-1
python-charset-normalizer 3.4.0-1
python-coverage 7.6.3-1
python-cryptography 42.0.8-1
python-dbus 1.3.2-4
python-distro 1.9.0-2
python-evdev 1.7.1-1
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-gobject 3.50.0-1
python-idna 3.8-1
python-importlib-metadata 7.2.1-1
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-lxml 5.3.0-1
python-mako 1.3.6-1
python-markdown 3.7-1
python-markupsafe 2.1.5-2
python-moddb 0.11.0-1
python-more-itertools 10.3.0-1
python-nose 1.3.7-16
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-pillow 11.0.0-1
python-pip 24.2-1
python-platformdirs 4.3.6-1
python-pycparser 2.22-2
python-requests 2.32.3-1
python-setuptools 1:69.5.1-1
python-soupsieve 2.6-1
python-tomli 2.0.1-4
python-tqdm 4.66.6-1
python-trove-classifiers 2024.10.21.16-1
python-urllib3 1.26.20-1
python-validate-pyproject 0.21-1
python-vdf 4.0-1
python-wheel 0.44.0-2
python-yaml 6.0.2-1
python-zipp 3.19.2-1
qt5-base 5.15.15+kde+r136-1
qt5-declarative 5.15.15+kde+r25-1
qt5-graphicaleffects 5.15.15-1
qt5-quickcontrols2 5.15.15+kde+r5-1
qt5-svg 5.15.15+kde+r5-1
qt5-translations 5.15.15-1
qt5-wayland 5.15.15+kde+r60-1
qt5-x11extras 5.15.15-1
qt6-base 6.8.0-1
qt6-declarative 6.8.0-4
qt6-svg 6.8.0-1
qt6-translations 6.8.0-1
qt6-wayland 6.8.0-1
rav1e 0.7.1-1
readline 8.2.013-1
reflector 2023-2
rhash 1.4.4-1
ripgrep 14.1.1-1
rnnoise 1:0.2-1
rtkit 0.13-3
rtmidi 6.0.0-1
rubberband 3.3.0-2
ruby 3.3.5-2
ruby-erb 4.0.4-6
ruby-manpages 0.6.1-6
ruby-optimist 3.1.0-3
ruby-paint 2.3.0-4
ruby-rdoc 6.6.3.1-1
rubygems 3.5.16-1
runc 1.2.0-1
sbc 2.0-2
sdbus-cpp 2.0.0-1
sddm 0.21.0-4
sddm-theme-corners-git r40.6ff0ff4-1
sdl2 2.30.8-1
seatd 0.8.0-2
sed 4.9-3
sequoia-sqv 1.2.1-1
serd 0.32.2-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
slurp 1.5.0-1
snappy 1.2.1-2
sndio 1.10.0-1
sord 0.16.16-1
spdlog 1.14.1-3
speex 1.2.1-2
speexdsp 1.2.1-2
spicetify-cli 2.38.4-2
spicetify-cli-debug 2.38.4-2
spirv-tools 2024.2-1
spotify-launcher 0.6.0-1
sqlite 3.46.1-1
sratom 0.6.16-1
srt 1.5.3-2
starship 1.21.1-1
startup-notification 0.12-8
steam 1.0.0.81-2
stow 2.4.1-1
sudo 1.9.16-1
svt-av1 2.2.1-1
swww 0.9.5-2
